name,coord,dm,tau_ms_600MHz,bw_kHz_600MHz
zach,20h40m47.886s +72d52m56.378s,30,0.00606263425855561,26.251780381984172
whitney,08h58m52.92s +73d29m27.0s,30,0.0017969184958780385,88.57104173449257
oran,21h12m10.760s +72d49m38.20s,30,0.00769437153194919,20.684592943171427
gertrude,04h55m46.96s +69d55m44.8s,30,0.008825208521792112,18.034128338032307
isha,04h45m38.64s +70d18m26.6s,30,0.009477646339867798,16.792665328986665
wilhelm,21h00m31.09s +72d02m15.22s,30,0.007491281962637897,21.245354785157797
phineas,11h51m07.52s +71d41m44.3s,30,0.0011456806626740825,138.91736875476175
freya,05h52m45.12s +74d12m01.7s,30,0.004323029327407598,36.81560568716664
pingu,11h09m26.047s +72d33m28.02s,30,0.0012500410749831992,127.31977074756078
hamilton,20h20m08.92s +70d47m33.96s,30,0.005833603626109572,27.28244037348758
mahi,02h39m03.96s +71d01m04.3s,30,0.03221113110151431,4.940992062349936
chromatica,20h50m28.59s +73d54m00.0s,30,0.006079198472318342,26.180251198674977
casey,11h19m56.05s +70d40m34.4s,30,0.0011582651880416362,137.40803464963864
johndoe (II),22h23m53.94s +73d01m33.26s,30,0.013174949505899878,12.080117879816095
